update,episodes,total_steps,ep_mean,ep_min,ep_max,avg50,best_avg50,mean_kills,max_kills,avg50_kills,best_avg50_kills,policy_loss,value_loss,rel_value_loss_pct,entropy,secs_rollout,secs_update
167,22266,43803048,504.99,24.83,1108.14,504.58,607.01,32.12,40.0,32.42,35.5,0.00721,34.84206,1.169,1.01295,451.4,132.9
168,22391,44065192,455.67,0.16,1080.48,412.4,607.01,31.56,40.0,31.16,35.5,0.00578,34.34094,1.286,1.00786,447.8,133.0
169,22512,44327336,481.12,-93.11,1095.2,435.48,607.01,31.8,40.0,31.62,35.5,0.00567,36.46266,1.255,1.00274,448.5,133.1
170,22635,44589480,490.16,-55.93,1105.7,514.84,607.01,32.2,40.0,32.48,35.5,0.00566,35.34387,1.213,1.00467,444.0,133.0
171,22760,44851624,446.39,-32.17,1086.63,424.88,607.01,31.5,40.0,31.32,35.5,0.00593,36.57491,1.355,1.01266,445.5,132.8
172,22884,45113768,459.83,22.97,1080.99,475.78,607.01,31.42,40.0,31.78,35.5,0.00669,33.07672,1.251,1.01363,448.5,133.0
173,23003,45375912,480.8,-87.11,1091.31,454.47,607.01,31.95,40.0,31.36,35.5,0.00547,35.96706,1.247,1.00657,444.2,133.3
174,23126,45638056,443.88,-63.11,1099.12,451.98,607.01,30.94,40.0,31.08,35.5,0.00576,34.84793,1.33,1.00811,443.2,133.0
175,23249,45900200,466.49,11.78,1082.68,418.22,607.01,31.6,40.0,31.3,35.5,0.00496,32.46843,1.221,1.0176,447.6,132.8
176,23373,46162344,458.51,-21.14,1087.33,441.13,607.01,31.19,40.0,30.98,35.5,0.00535,32.89464,1.251,1.01575,448.5,133.1
177,23501,46424488,431.25,-46.26,1114.02,367.81,607.01,31.16,40.0,29.84,35.5,0.00515,32.42813,1.32,1.00711,447.2,132.5
178,23620,46686632,510.62,-57.39,1084.82,495.12,607.01,33.13,40.0,33.12,35.5,0.00543,38.82688,1.22,1.0009,444.2,132.5
179,23739,46948776,541.88,55.27,1093.47,566.6,607.01,32.99,40.0,33.52,35.5,0.00605,34.78552,1.088,0.99392,442.3,132.7
180,23857,47210920,526.2,12.25,1116.65,483.76,607.01,32.68,40.0,32.14,35.5,0.00489,32.79385,1.088,0.99483,444.9,132.4
181,23977,47473064,524.59,30.35,1090.24,561.86,607.01,32.92,40.0,33.36,35.5,0.00516,36.34958,1.149,0.99152,448.4,132.0
182,24096,47735208,575.63,-33.9,1108.72,549.21,607.01,33.56,40.0,33.32,35.5,0.005,32.93491,0.997,0.99007,444.7,132.3
183,24214,47997352,543.04,1.84,1096.88,538.16,607.01,33.2,40.0,32.82,35.5,0.00575,34.79816,1.086,0.98324,446.0,132.0
184,24332,48259496,540.79,-89.87,1089.41,548.11,607.01,33.28,40.0,33.16,35.5,0.00488,33.8296,1.076,0.98312,443.5,132.3
185,24446,48521640,555.09,-38.08,1104.77,565.46,607.01,33.24,40.0,33.08,35.5,0.00555,38.37293,1.116,0.97907,442.5,131.9
186,24560,48783784,607.11,8.44,1118.66,648.17,607.01,33.94,40.0,34.64,35.5,0.00788,35.28337,0.978,0.97761,445.2,132.4
187,24673,49045928,615.36,23.63,1087.72,611.23,648.17,34.32,40.0,34.06,35.5,0.00722,35.68695,0.971,0.97051,453.8,132.2
188,24787,49308072,564.17,-239.62,1102.56,615.19,648.17,33.23,40.0,34.4,35.5,0.00679,35.43623,1.055,0.97307,446.5,132.0
189,24905,49570216,517.16,-16.19,1098.14,548.61,648.17,32.61,40.0,33.04,35.5,0.00542,34.14394,1.13,0.97666,448.5,132.3
190,25022,49832360,576.43,-22.82,1111.2,684.35,648.17,33.57,40.0,35.32,35.5,0.00448,32.00187,0.981,0.97393,446.9,132.3
191,25139,50094504,597.81,52.81,1116.55,577.74,684.35,33.94,40.0,34.04,35.5,0.00563,40.11237,1.059,0.9803,444.2,132.3
192,25263,50356648,516.02,-4.29,1089.57,556.47,684.35,31.87,40.0,32.88,35.5,0.00651,36.5113,1.171,0.98612,447.0,132.4
193,25376,50618792,590.72,-107.06,1094.85,589.74,684.35,33.89,40.0,33.86,35.5,0.00458,35.28257,1.006,0.97672,445.3,133.3
194,25490,50880936,555.78,-70.78,1099.04,573.78,684.35,33.19,40.0,33.9,35.5,0.00641,33.91551,1.048,0.97107,445.3,132.4
195,25606,51143080,594.93,20.23,1114.32,574.2,684.35,33.79,40.0,33.62,35.5,0.00722,36.89353,1.021,0.96958,444.2,132.1
196,25726,51405224,548.86,-149.6,1107.39,559.67,684.35,32.7,40.0,33.42,35.5,0.00574,36.93321,1.107,0.98082,448.0,132.0
197,25839,51667368,641.91,63.37,1113.48,571.83,684.35,34.75,40.0,34.28,35.5,0.00618,36.24705,0.938,0.9792,444.3,131.9
198,25949,51929512,667.49,76.69,1123.12,687.95,684.35,34.85,40.0,35.6,35.6,0.00627,32.16303,0.85,0.96739,445.8,132.0
199,26060,52191656,575.29,-61.38,1105.31,581.54,687.95,33.32,40.0,33.78,35.6,0.00601,32.03365,0.984,0.96144,445.3,132.2
200,26168,52453800,644.85,44.85,1099.14,661.7,687.95,34.41,40.0,34.84,35.6,0.00653,33.67437,0.9,0.96097,444.5,131.9
201,26274,52715944,667.4,-32.72,1131.85,584.62,687.95,35.3,40.0,33.76,35.6,0.00654,34.52321,0.88,0.96093,449.6,132.3
202,26383,52978088,657.2,-50.61,1106.2,635.37,687.95,34.83,40.0,34.5,35.6,0.00531,36.25358,0.916,0.95883,443.0,132.2
203,26494,53240232,622.7,77.8,1091.02,631.77,687.95,34.54,40.0,35.08,35.6,0.00614,36.93784,0.976,0.95444,444.8,132.1
204,26609,53502376,596.1,83.4,1098.4,587.86,687.95,34.06,40.0,33.8,35.6,0.00597,35.48786,0.999,0.96721,444.1,131.9
